State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Madhya Pradesh,Khandwa,Mundi,Soyabean,Soyabeen,FAQ,15-09-2024,4301,4301,4301
Madhya Pradesh,Khargone,Badwaha,Cotton,Without Ginned Cotton,FAQ,15-09-2024,2100,5035,5035
Madhya Pradesh,Khargone,Badwaha,Wheat,Mill Quality,FAQ,15-09-2024,2600,2600,2600
Madhya Pradesh,Khargone,Bhikangaon,Soyabean,Soyabeen,FAQ,15-09-2024,4399,4650,4650
Madhya Pradesh,Khargone,Khargone,Maize,Local,FAQ,15-09-2024,1700,1825,1825
Madhya Pradesh,Raisen,Bareli,Paddy(Dhan)(Common),Puspa (MR 301),FAQ,15-09-2024,2711,2782,2750
Madhya Pradesh,Sagar,Bina,buttery,Buttery,FAQ,15-09-2024,6190,6200,6200
Madhya Pradesh,Sagar,Shahagarh,Wheat,Mill Quality,FAQ,15-09-2024,2500,2600,2600
Madhya Pradesh,Shajapur,Agar,Mustard,Mustard,FAQ,15-09-2024,5601,5601,5601
Madhya Pradesh,Shajapur,Kalapipal,Soyabean,Yellow,FAQ,15-09-2024,3200,4250,4250
Madhya Pradesh,Umariya,Umariya,Paddy(Dhan)(Common),Dhan,FAQ,15-09-2024,1900,1900,1900
Maharashtra,Ahmednagar,Rahata,Beetroot,Other,FAQ,15-09-2024,1000,1000,1000
Maharashtra,Ahmednagar,Rahata,Bhindi(Ladies Finger),Other,FAQ,15-09-2024,2500,4200,3300
Maharashtra,Ahmednagar,Rahata,Bitter gourd,Other,FAQ,15-09-2024,2000,3500,2750
Maharashtra,Ahmednagar,Rahata,Carrot,Other,FAQ,15-09-2024,1000,2000,1500
Maharashtra,Ahmednagar,Rahata,Coriander(Leaves),Other,FAQ,15-09-2024,20,100,60
Maharashtra,Ahmednagar,Rahata,Green Chilli,Other,FAQ,15-09-2024,2500,4000,3250
Maharashtra,Ahmednagar,Rahata,Guar,Other,FAQ,15-09-2024,4000,11100,7550
Maharashtra,Ahmednagar,Rahata,Pomegranate,Other,Local,15-09-2024,1000,33000,7700
Maharashtra,Amarawati,Anajngaon,Arhar (Tur/Red Gram)(Whole),Other,FAQ,15-09-2024,10000,10400,10300
Maharashtra,Chattrapati Sambhajinagar,Paithan,Bajra(Pearl Millet/Cumbu),Other,FAQ,15-09-2024,2152,2400,2341
Maharashtra,Chattrapati Sambhajinagar,Sillod,Bajra(Pearl Millet/Cumbu),Other,FAQ,15-09-2024,2225,2425,2400
Maharashtra,Chattrapati Sambhajinagar,Sillod,Bengal Gram(Gram)(Whole),Other,FAQ,15-09-2024,5555,5555,5555
Maharashtra,Chattrapati Sambhajinagar,Sillod,Jowar(Sorghum),Other,FAQ,15-09-2024,2200,2231,2225
Maharashtra,Chattrapati Sambhajinagar,Sillod,Sunflower,Other,FAQ,15-09-2024,4609,4609,4609
Maharashtra,Jalgaon,Bhusaval,Beetroot,Other,FAQ,15-09-2024,2000,2000,2000
Maharashtra,Jalgaon,Bhusaval,Cauliflower,Other,FAQ,15-09-2024,3500,3500,3500
Maharashtra,Jalgaon,Bhusaval,Methi(Leaves),Other,FAQ,15-09-2024,750,800,800
Maharashtra,Jalgaon,Bhusaval,Onion,Red,FAQ,15-09-2024,3000,4000,4000
Maharashtra,Jalgaon,Bhusaval,Spinach,Other,FAQ,15-09-2024,2500,2500,2500
Maharashtra,Kolhapur,Kolhapur,Apple,Other,Local,15-09-2024,6500,15000,9000
Maharashtra,Kolhapur,Kolhapur,Brinjal,Other,FAQ,15-09-2024,1000,6000,3500
Maharashtra,Kolhapur,Kolhapur,Cauliflower,Other,FAQ,15-09-2024,1000,2750,2000
Maharashtra,Kolhapur,Kolhapur,Coriander(Leaves),Other,FAQ,15-09-2024,5000,15000,10000
Maharashtra,Nagpur,Kamthi,Bitter gourd,Other,FAQ,15-09-2024,3500,4500,4000
Maharashtra,Nagpur,Kamthi,Brinjal,Other,FAQ,15-09-2024,1500,2500,2000
Maharashtra,Nagpur,Kamthi,Coriander(Leaves),Other,FAQ,15-09-2024,17000,19000,18000
Maharashtra,Nagpur,Kamthi,Ginger(Green),Other,FAQ,15-09-2024,4000,6000,5000
Maharashtra,Nagpur,Kamthi,Potato,Local,FAQ,15-09-2024,3000,4500,4000
Maharashtra,Nagpur,Kamthi,Pumpkin,Other,FAQ,15-09-2024,1000,2000,1500
Maharashtra,Nagpur,Kamthi,Spinach,Other,FAQ,15-09-2024,3500,4500,4000
Maharashtra,Nagpur,Ramtek,Bitter gourd,Other,FAQ,15-09-2024,4000,5000,4500
Maharashtra,Nagpur,Ramtek,Garlic,Other,FAQ,15-09-2024,3000,3500,3400
Maharashtra,Pune,Dound,Wheat,Maharashtra 2189,FAQ,15-09-2024,2200,3025,2750
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,15-09-2024,3000,5610,4300
Maharashtra,Pune,Pune,Amla(Nelli Kai),Other,Local,15-09-2024,2500,3000,2700
Maharashtra,Pune,Pune,Beans,Other,FAQ,15-09-2024,3000,6000,4500
Maharashtra,Pune,Pune,Beetroot,Other,FAQ,15-09-2024,1000,2000,1500
Maharashtra,Pune,Pune,Chikoos(Sapota),Other,Local,15-09-2024,1000,3000,2000
Maharashtra,Pune,Pune,Drumstick,Other,FAQ,15-09-2024,2000,5000,3500
Maharashtra,Pune,Pune,Pumpkin,Other,FAQ,15-09-2024,1000,3000,2000
Maharashtra,Pune,Pune,Raddish,Other,FAQ,15-09-2024,15,25,20
Maharashtra,Pune,Pune(Moshi),Beetroot,Other,FAQ,15-09-2024,2000,3000,2500
Maharashtra,Pune,Pune(Moshi),Elephant Yam (Suran),Other,FAQ,15-09-2024,4000,4000,4000
Maharashtra,Pune,Pune(Moshi),Green Chilli,Other,FAQ,15-09-2024,3000,4000,3500
Maharashtra,Pune,Pune(Moshi),Little gourd (Kundru),Other,FAQ,15-09-2024,3000,5000,4000
Maharashtra,Pune,Pune(Moshi),Ridgeguard(Tori),Other,FAQ,15-09-2024,3000,4000,3500
Maharashtra,Pune,Pune(Moshi),Spinach,Other,FAQ,15-09-2024,10,10,10
Maharashtra,Raigad,Panvel,Bitter gourd,Other,FAQ,15-09-2024,3500,4500,4000
Maharashtra,Raigad,Panvel,Bottle gourd,Other,FAQ,15-09-2024,2500,3000,2750
Maharashtra,Satara,Satara,Ginger(Green),Other,FAQ,15-09-2024,6000,8000,7000
Maharashtra,Sholapur,Mangal Wedha,Onion,Local,FAQ,15-09-2024,2800,2800,2800
Odisha,Balasore,Jaleswar,Garlic,Other,FAQ,15-09-2024,27800,28200,28000
Odisha,Bargarh,Bargarh(Barapalli),Brinjal,Other,FAQ,15-09-2024,2700,2900,2800
Odisha,Bargarh,Bargarh(Barapalli),Tomato,Other,FAQ,15-09-2024,2700,2900,2800
Odisha,Dhenkanal,Hindol,Banana - Green,Other,FAQ,15-09-2024,2400,2800,2600
Odisha,Dhenkanal,Hindol,Cucumbar(Kheera),Cucumbar,FAQ,15-09-2024,3700,4000,3800
Odisha,Dhenkanal,Hindol,Drumstick,Drumstick,FAQ,15-09-2024,4000,4500,4200
Odisha,Dhenkanal,Hindol,Potato,Potato,FAQ,15-09-2024,2800,3200,3000
Odisha,Dhenkanal,Hindol,Pumpkin,Pumpkin,FAQ,15-09-2024,1400,1600,1500
Odisha,Nuapada,Khariar Road,Brinjal,Brinjal,FAQ,15-09-2024,4000,4100,4100
Odisha,Puri,Dumal,Betal Leaves,Local,FAQ,15-09-2024,6000,14000,10000
Odisha,Puri,Nimapara,Green Chilli,Other,FAQ,15-09-2024,2000,3000,2500
Odisha,Sonepur,Dungurapalli,Brinjal,Other,FAQ,15-09-2024,2800,3000,2900
Odisha,Sonepur,Dungurapalli,Cabbage,Other,FAQ,15-09-2024,4500,5000,4800
Odisha,Sonepur,Dungurapalli,Pointed gourd (Parval),Other,FAQ,15-09-2024,2500,2800,2600
Odisha,Sonepur,Dungurapalli,Tomato,Other,FAQ,15-09-2024,2100,2300,2200
Punjab,Hoshiarpur,Tanda Urmur,Apple,Other,Medium,15-09-2024,6000,7000,6500
Punjab,Hoshiarpur,Tanda Urmur,Cauliflower,Other,FAQ,15-09-2024,4500,5500,5000
Punjab,Hoshiarpur,Tanda Urmur,Lemon,Other,FAQ,15-09-2024,10000,12000,11000
Punjab,Hoshiarpur,Tanda Urmur,Papaya,Other,Medium,15-09-2024,3000,4000,3500
Punjab,Hoshiarpur,Tanda Urmur,Raddish,Other,FAQ,15-09-2024,2500,3000,2800
Punjab,kapurthala,Sultanpur,Pumpkin,Other,FAQ,15-09-2024,1500,2000,2000
Punjab,Patiala,Rajpura,Cucumbar(Kheera),Other,FAQ,15-09-2024,1200,2000,1700
Punjab,Patiala,Rajpura,Guava,Other,Medium,15-09-2024,2000,4000,3000
Punjab,Patiala,Rajpura,Potato,Other,FAQ,15-09-2024,1300,2050,1700
Punjab,Sangrur,Ahmedgarh,Ridgeguard(Tori),Other,FAQ,15-09-2024,1300,1400,1300
Punjab,Sangrur,Bhawanigarh,Capsicum,Other,FAQ,15-09-2024,4000,4000,4000
Punjab,Sangrur,Bhawanigarh,Carrot,Other,FAQ,15-09-2024,2000,2500,2250
Punjab,Sangrur,Bhawanigarh,Ridgeguard(Tori),Other,FAQ,15-09-2024,2000,2000,2000
Punjab,Tarntaran,Naushera Pannuan,Brinjal,Other,FAQ,15-09-2024,2500,2500,2500
Punjab,Tarntaran,Patti,Apple,Other,Medium,15-09-2024,4000,5000,4500
Punjab,Tarntaran,Patti,Onion,Other,FAQ,15-09-2024,3000,4000,3500
Punjab,Tarntaran,Patti,Ridgeguard(Tori),Other,FAQ,15-09-2024,2500,2800,2600
Punjab,Tarntaran,Patti,Tomato,Other,FAQ,15-09-2024,2200,2500,2400
Punjab,Tarntaran,Tarantaran,Cauliflower,Other,FAQ,15-09-2024,3500,4200,4000
Punjab,Tarntaran,Tarantaran,Cucumbar(Kheera),Cucumbar,FAQ,15-09-2024,2000,2500,2200
Punjab,Tarntaran,Tarantaran,Green Chilli,Other,FAQ,15-09-2024,3000,3500,3200
Rajasthan,Jalore,Bhinmal,Tomato,Deshi,FAQ,15-09-2024,1400,1700,1550
Rajasthan,Jalore,Jalore,Bottle gourd,Other,FAQ,15-09-2024,800,1000,900
Rajasthan,Jalore,Jalore,Ginger(Green),Other,FAQ,15-09-2024,3000,3500,3300
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Carrot,Pusakesar,Local,15-09-2024,7000,8400,8400
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Coriander(Leaves),I Sort,Local,15-09-2024,5000,5600,5600
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Ginger(Green),Green Ginger,Local,15-09-2024,16000,17200,17200
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Lemon,Lemon,Local,15-09-2024,6000,7200,7200
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,15-09-2024,2000,2500,2500
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,15-09-2024,4800,5000,5000
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Onion,Bellary,Local,15-09-2024,4000,5800,5800
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Onion Green,Onion Green,Local,15-09-2024,3800,5200,5200
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Coconut,Coconut,Local,15-09-2024,3000,4000,4000
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,15-09-2024,1500,2000,2000
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,15-09-2024,3000,4000,4000
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Tomato,Deshi,Local,15-09-2024,2800,3200,3200
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,15-09-2024,2500,3000,3000
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Beans,Beans (Whole),Local,15-09-2024,4000,5000,5000
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Cabbage,Cabbage,Local,15-09-2024,2000,2500,2500
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,15-09-2024,4000,5000,5000
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Marigold(Calcutta),Marigold(Calcutta),Local,15-09-2024,10000,12000,12000
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion Green,Onion Green,Local,15-09-2024,4000,6000,6000
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Potato,(Red Nanital),Local,15-09-2024,3500,4000,4000
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Thondekai,Thondekai,Local,15-09-2024,2500,3000,3000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,15-09-2024,5500,6000,6000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,15-09-2024,3000,4000,4000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Brinjal,Round,Local,15-09-2024,4500,5000,5000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,15-09-2024,3500,4000,4000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Cucumbar(Kheera),Cucumbar,Local,15-09-2024,2500,3000,3000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Drumstick,Drumstick,Local,15-09-2024,5000,6000,6000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Grapes,Annabesahai,Local,15-09-2024,11000,12000,12000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Maize,Deshi Red,Local,15-09-2024,3000,3500,3500
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,15-09-2024,3500,4000,4000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,15-09-2024,4500,5000,5000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Onion,Bellary,Local,15-09-2024,5500,6000,6000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Onion Green,Onion Green,Local,15-09-2024,5000,6000,6000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Ridgeguard(Tori),Ridgeguard(Tori),Local,15-09-2024,4500,5000,5000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,15-09-2024,3000,4000,4000
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Thondekai,Thondekai,Local,15-09-2024,4500,5000,5000
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,15-09-2024,3000,3500,3500
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,15-09-2024,2500,3000,3000
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Tapioca,Tapioca,Local,15-09-2024,3000,3500,3500
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Sweet Potato,Hosur Red,Local,15-09-2024,6500,7000,7000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,15-09-2024,2500,3000,3000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,15-09-2024,1200,1500,1500
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Capsicum,Capsicum,Local,15-09-2024,3500,4000,4000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Carrot,Pusakesar,Local,15-09-2024,6000,7000,7000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Coconut,Coconut,Local,15-09-2024,2500,2800,2800
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Guava,Guava Alahabad,Local,15-09-2024,5000,6000,6000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Knool Khol,Knool Khol,Local,15-09-2024,3500,4000,4000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,15-09-2024,5000,6000,6000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Orange,Darjeeling,Local,15-09-2024,7000,8000,8000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Papaya,Papaya,Local,15-09-2024,5000,6000,6000
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,15-09-2024,1800,2200,2200
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Tomato,Deshi,Local,15-09-2024,3500,4000,4000
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,15-09-2024,3000,3500,3500
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,15-09-2024,4000,4500,4500
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Coriander(Leaves),I Sort,Local,15-09-2024,8500,9000,9000
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Garlic,Average,Local,15-09-2024,27000,28000,28000
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,15-09-2024,20000,22500,22500
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Onion,Bellary,Local,15-09-2024,5500,6000,6000
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Onion Green,Onion Green,Local,15-09-2024,6000,7000,7000
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,15-09-2024,2000,2500,2500
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Raddish,Raddish,Local,15-09-2024,3000,3500,3500
